State,2008_Avg_ZHVI,2009_Avg_ZHVI,2010_Avg_ZHVI,2011_Avg_ZHVI,2012_Avg_ZHVI,2013_Avg_ZHVI,2014_Avg_ZHVI,2015_Avg_ZHVI,2016_Avg_ZHVI,2017_Avg_ZHVI,2018_Avg_ZHVI,2019_Avg_ZHVI,2008_Avg_MSR,2009_Avg_MSR,2010_Avg_MSR,2011_Avg_MSR,2012_Avg_MSR,2013_Avg_MSR,2014_Avg_MSR,2015_Avg_MSR,2016_Avg_MSR,2017_Avg_MSR,2018_Avg_MSR,2019_Avg_MSR,2008_Avg_NS,2009_Avg_NS,2010_Avg_NS,2011_Avg_NS,2012_Avg_NS,2013_Avg_NS,2014_Avg_NS,2015_Avg_NS,2016_Avg_NS,2017_Avg_NS,2018_Avg_NS,2019_Avg_NS,2008_Avg_FR,2009_Avg_FR,2010_Avg_FR,2011_Avg_FR,2012_Avg_FR,2013_Avg_FR,2014_Avg_FR,2015_Avg_FR,2016_Avg_FR,2017_Avg_FR,2018_Avg_FR,2019_Avg_FR,State Name,%Increase/Decrease_ZHVI,%Increase/Decrease_MSR,%Increase/Decrease_NS,%Increase/Decrease_FR,Lat,Lng
AK,257757.73167438273,255277.2561728395,255265.84567901245,252652.66203703717,257154.49061561562,261483.09355921848,260587.85927216415,263911.0062250411,260905.36141975306,265698.3184092478,269695.78200483095,274733.0770750988,250938.88888888888,248385.83333333334,251926.6666666667,247694.16666666666,249733.33333333334,260123.33333333334,263983.3333333333,265137.6068376068,273618.4523809524,276357.1428571429,276275.00000000006,303090.1948051948,9.031944444444445,8.409722222222218,8.322916666666664,8.128472222222223,8.972222222222225,10.315972222222223,9.895833333333336,10.302083333333332,10.432870370370374,10.371527777777782,11.289351851851855,10.138924963924968,0.011509545454545456,0.014735795454545453,0.0179530303030303,0.015444128787878786,0.013249810606060609,0.015368371212121212,0.010807954545454546,0.014436174242424242,0.007722537878787878,0.00810965909090909,0.008051325757575759,0.015248245277449824,Alaska,6.585775445200034,20.78247263595622,12.256281316714997,32.48347067805224,64.2008413,-149.4936733
AL,142287.10277067454,137912.21270345466,132560.9545211982,127438.04875639253,124757.8777552856,124216.83130423917,123857.45656953278,126152.31000375371,126710.28154277391,129905.843309622,135128.46738748244,140721.53816647478,175509.33333333334,180547.1553884712,173846.45316804407,161594.14609053495,154778.68764172337,149313.1808469308,160410.8723544973,160506.19227994225,166913.64633173845,170838.230861965,182899.57805907173,192811.42181306737,5.54487804878048,4.889972899729007,5.053387533875347,5.070211038961039,6.0018939393939466,6.719020562770572,7.086444805194796,7.684117965367965,8.438446969696976,8.992694805194798,8.99621212121211,9.49210067980359,0.016703090452261298,0.02210268006700169,0.028619849246231177,0.024541436925647437,0.022357852965747705,0.03634131161236426,0.03817410192147034,0.036395614035087745,0.029826023391812874,0.02479415204678363,0.021197076023391822,0.018579561267888334,Alabama,-1.10028567151514,9.858215600918104,71.18682496346781,11.234273208243303,32.3182314,-86.902298
AR,109428.50679144384,105079.60752769165,102444.34562176622,100620.50496031746,100541.64657455386,101893.99584106366,102221.9523171412,102801.309430402,104403.71547516124,106864.87110219299,110706.66750119209,114667.53478995971,140252.14285714287,138245.55555555556,150888.746031746,146917.72727272726,143810.74735449732,150323.69791666666,146687.82407407404,147823.53174603175,145568.2199546485,153188.90985324947,159641.19496855346,168384.95711835334,4.335545366795363,3.9887387387387414,3.833896396396402,3.74943693693694,3.7656250000000044,4.231981981981988,4.307995495495498,4.58671171171172,5.3794266441821375,5.759134345137727,5.925941540191133,5.654203964585312,0.010238047138047133,0.023586391694725022,0.03402805836139171,0.024478591470258132,0.011072166105499442,0.017768265993265996,0.02425331088664421,0.012681369248035916,0.012303733221476508,0.011055313199105148,0.011783920581655484,0.012020540250994796,Arkansas,4.787626325287212,20.058741127303712,30.415057074230123,17.41047964434032,35.20105,-91.8318334
AZ,257791.88024570871,222270.16888570826,208525.8312647754,192496.05754712067,192090.25600354065,210370.32837052536,219667.3631944443,224545.7671612376,235508.48577910563,245929.40762726997,261890.89103389115,275311.09032409015,226407.7906976744,176530.95195879773,162135.60996563573,145286.41895141892,152584.797979798,177200.01951600306,183870.43763368236,196480.29312169307,210747.5397048082,229344.1715116281,250549.2248062016,266456.50046981435,18.65064935064935,26.02174107142858,26.325285565939794,29.85621857438631,35.41979487179488,35.87398373983739,33.06489898989899,35.01985325852394,37.75686096106448,39.37664861863115,38.83067632850245,38.75638915030221,0.09463225454545462,0.13956324373651904,0.13865724826388906,0.13238908798813642,0.07226511986301368,0.059774971751412415,0.04646907968574636,0.031104901725791004,0.021606489156268564,0.016913494623655916,0.011267614850427352,0.00941172968235468,Arizona,6.795873501400969,17.688750748695547,107.80182191861782,-90.0544167233869,34.0489281,-111.0937311
CA,468233.71145014383,423004.03460836154,422985.65160346066,401367.3600693526,406446.894985464,446805.1623243503,476875.1169130697,503387.1029916204,536483.4835615861,569431.0510392364,615508.1071340708,626331.2937269371,407465.84733893553,342550.98595133144,347274.1681938855,330089.6528272984,338443.9731226776,399430.5801749056,446907.43583797175,484121.2619233112,515830.06756083877,549819.5213863018,606957.5652356899,617881.883531382,15.571647509578455,18.937251495425755,18.22401102677528,18.567577593964746,20.25150879296564,20.629228278690668,19.528821124409358,21.153240078195907,21.924785704147578,22.777819147460953,21.260338791643182,20.82603676516722,0.19650673606447386,0.24336039161818532,0.21293896839192222,0.20542833900585306,0.14505450136182724,0.06536230560818851,0.03688029079938325,0.028936317282169118,0.022029894508720345,0.01354103803716607,0.00964221376823016,0.006600223192395527,California,33.764673155881276,51.64016507558229,33.74330977089405,-96.64122292976765,36.778261,-119.4179324
CO,253618.98120004765,245395.78215432473,241199.4689523288,237452.87529125105,239758.2621693122,255112.31836715777,270234.2770542249,292758.44300780015,313756.48809076677,331518.9515337328,355129.4945205482,370922.9168119553,217074.26470588235,215294.25331294592,224658.17191283297,222233.37930803053,230240.99999999997,247694.47746883982,262632.5938404711,290546.97928765,318680.1591997745,345185.8232323233,375105.6944444444,392713.47979797976,13.267979797979828,11.296613011401742,11.22411489645959,11.53744201457919,13.61812458581842,16.334990059642134,17.159874088800542,19.024683484504944,19.598844884488475,20.084436930590797,19.177350427350444,19.731269015884415,0.09766219660194177,0.11062373188405807,0.08862502003205121,0.08434855555555557,0.08178119047619047,0.053861646825396806,0.028772400793650788,0.019262487275195125,0.013243088467614537,0.007637028301886794,0.0029817806603773585,0.0009409516152086906,Colorado,46.25203328901535,80.9120396331062,48.71343879260866,-99.0365242151537,39.5500507,-105.7820674
CT,347249.2153416186,323905.3924581005,313118.0145833333,300227.8016975309,288950.1955954574,293717.91701494437,294941.3222216033,295011.94560111687,298319.4267612294,301334.0385971055,306134.3323996265,307665.4107461166,274524.28571428574,307153.94345238095,307529.1666666667,272627.4404761905,267464.4809438927,269065.54089026916,265795.91666666674,280403.08641975315,290060.08579094516,287686.0742630385,295594.0476190476,293436.04761904763,9.02924187725632,8.227737665463295,8.122162485065708,6.783452807646357,7.468040621266427,9.441756272401436,9.628434886499406,10.894862604540027,11.133213859020309,12.154719235364398,12.00627240143369,11.70329006915028,0.0028476171875000005,0.02943528645833333,0.04725904392764862,0.03821350129198969,0.02786818475452196,0.018429134366925067,0.00711734496124031,0.03720552325581398,0.035546285529715754,0.036021479328165386,0.039913985788113705,0.031048179846639164,Connecticut,-11.399249543749155,6.888921268133095,29.615423179985868,990.3214091742856,41.6032207,-73.087749
DC,483599.1902777777,458940.0694444444,459613.4194444445,459278.6708333332,467900.16111111117,506845.4801587303,544902.2328042327,563037.7341269841,584612.0251322751,609986.6719576719,634939.816137566,662305.8124098125,377366.0,414258.3333333333,441138.88888888893,421514.46969696967,423751.6666666667,468290.2777777778,491883.9743589743,508345.238095238,548769.2424242423,564727.731092437,587388.725490196,607160.5882352941,16.147619047619052,16.976190476190474,18.91269841269841,17.634920634920636,18.61111111111111,23.583333333333336,27.481060606060613,28.20454545454546,29.06439393939394,34.17609126984127,32.40972222222222,32.65,0.029335,0.058518055555555545,0.05460185185185186,0.042307870370370364,0.007951388888888888,0.00047777777777777776,0.0008839598997493732,0.0032640350877192986,0.0037605263157894746,0.012849433106575965,0.007907539682539683,0.007087018140589568,District of Columbia,36.9534576824635,60.89435408470665,102.19699203774691,-75.84108355006113,38.9071923,-77.0368707
DE,300988.79071969696,281541.64835858584,272534.58585858584,256029.80492424237,248251.02830687823,249140.88940648714,258817.4130434783,263802.4577294686,270780.8762077294,275315.4051932368,283876.1437198068,290346.7905138339,235473.33333333334,223635.18518518517,216040.74074074076,217623.2323232323,206953.86904761902,205318.58974358972,204143.0729166667,233334.75390551478,235962.10622710624,251531.93542568546,260473.51190476186,268667.2077922078,8.899999999999997,8.918974358974362,8.902777777777784,9.497474747474746,13.428030303030305,13.909090909090907,13.41287878787879,13.260101010101014,16.619651741293534,18.88184079601989,18.53980099502488,19.164831685727208,0.01397448275862069,0.023311101694915255,0.02550763888888889,0.03984652777777777,0.055847638888888884,0.04087194444444445,0.04161958333333335,0.023570972222222222,0.03431415300546448,0.04558169398907103,0.05712349726775958,0.04222282786885245,Delaware,-3.5356799103437884,14.096659689225005,115.33518748008107,202.1423304043629,38.9108325,-75.52766989999999
FL,217942.68727927128,187828.21114620715,176393.55878007688,164023.6826339263,164577.9572504494,180208.1645921217,196303.81553483463,212094.35079797983,227251.04410184035,240771.92200609818,254257.9297011126,263404.07840772,205161.77028218698,161831.19744024103,149442.77790076082,138131.3531878749,147198.49621310682,165782.01190125945,179155.29974489775,191246.9519887371,204515.78967711498,220785.66750495706,238663.12949640292,251467.6711163536,17.681107099879647,21.64967532467536,24.639380379867582,26.892319727891152,29.126724231122648,34.4470946870723,36.706138079981656,40.17614868862155,38.740082793376565,39.687147455548704,42.00776326386793,41.087983924109764,0.03334848866498736,0.0501744606353179,0.06507767587563949,0.06380332731939237,0.04858959884901829,0.042353918743509814,0.0474052559088421,0.041091304014612855,0.02154945007507506,0.009953998615106008,0.00799182727606462,0.006576426247210936,Florida,20.8593331099908,22.570433453793946,132.38354754601,-80.27968729474827,27.6648274,-81.5157535
GA,173790.70331350242,161387.78737047286,151266.0608108107,140202.10758915407,137011.4186865606,143007.24042012796,154108.97525080113,161715.42234289972,170212.64303456113,178582.0840539971,191245.73047177106,200731.7041411797,181430.34013605444,166199.7762345679,163137.7272727273,149657.44389709906,150479.14112839857,162611.9747951773,170909.81540270435,179431.3018341307,184237.66490827868,195246.92497189727,212872.42173112353,227524.6404056349,14.394932023631563,11.896860986547088,12.66083829365078,13.628596230158738,16.933852621167155,17.920562130177515,18.24279986908853,19.462854349951126,24.17239744382598,23.978758503401394,25.121427036320693,25.6842921105687,0.045668839141472406,0.07802673667205172,0.09827912647374058,0.07893053322615218,0.082088125,0.07985990149094786,0.056074082065258525,0.04964691631504916,0.03691004776716279,0.03103125970695969,0.022813001966227184,0.020558833079981936,Georgia,15.501980436248191,25.40605955708092,78.4259353806177,-54.98279906722608,32.1656221,-82.9000751
HI,591893.606837607,563030.8041855632,552678.4332010584,525001.0323218175,514123.55686582805,520677.1731795355,540035.6933804924,559843.9412238324,580662.8977455713,607022.817230274,628989.2294685991,639542.8243302591,477345.0,426754.9242424242,410633.37912087917,397520.8333333333,415250.35947712424,431007.9629629629,493740.4166666667,518424.1666666668,531570.0585399449,548866.6792929295,575292.7083333334,589334.8768939393,9.06202531645569,8.835937500000004,10.254166666666677,10.744855967078188,11.174897119341566,12.574074074074069,12.897119341563792,13.814814814814811,15.968495934959348,17.120816599732265,15.281124497991968,15.172810723413129,0.0015363265306122449,0.005253,0.005196999999999999,0.00537173202614379,0.0037519607843137254,0.006021895424836601,0.007450980392156862,0.003121732026143791,0.006087980769230768,0.004669871794871794,0.0028314102564102562,0.0005408091908091909,Hawaii,8.05030109164961,23.460992970270837,67.43288827345131,-64.79855160779708,19.8967662,-155.5827818
IA,133499.25425550147,132204.31120180676,130146.42640508588,127232.15311708282,127069.99805206156,126876.37986491552,126363.26502649148,127200.30086572291,130324.45032166899,134167.88271344244,138963.7777777777,143739.1195821293,143402.14285714287,142295.80687830687,149682.36111111112,143173.7,146382.37179487178,150110.49382716048,153406.19444444444,157980.25252525252,161076.63809144075,165716.36018237084,173010.4609929078,184307.95400816674,2.661425576519904,2.4419197207678893,2.303957461645743,2.3585251046025073,3.0121164574616506,3.3569560669456093,3.4171025104602544,3.634327057182711,3.752522616562292,4.303058741744871,4.282846715328476,3.912239868111468,0.015018171806167388,0.015002523809523797,0.015298245614035085,0.018754404239766084,0.015209886695906437,0.014058424707602338,0.01606822002923976,0.01044753289473684,0.00674095705967977,0.00529255628177197,0.00467140522875817,0.00783219836386321,Iowa,7.670353953461014,28.525243999857246,46.99790603301919,-47.84852334258937,41.8780025,-93.097702
ID,202895.82456641892,190033.46085367564,175826.77513227507,160282.056986532,162798.4160628019,170566.93225419667,176951.21713615017,185195.720701952,197658.5125064841,212604.98217253902,234064.55432489462,254894.8085922516,185813.0,162301.8115942029,148427.43055555556,135215.1111111111,139990.93073593074,159218.96383186706,167056.96969696973,179271.21212121213,198491.47959183672,210979.24174174172,241613.51351351355,268321.93011193007,5.265283018867924,5.46572327044025,5.767924528301879,5.961320754716971,6.448427672955976,7.437421383647798,7.979010025062663,9.377192982456146,10.42293233082707,10.967731829573939,10.957706766917285,10.04513366750208,0.008261525423728815,0.017661440677966097,0.029881873822975507,0.03334981167608284,0.024327730696798507,0.017447551789077215,0.016315589887640453,0.013699625468164795,0.009740823970037457,0.010640543071161045,0.009071769662921348,0.007210303314039269,Idaho,25.628415043509463,44.404282860687935,90.78050755307471,-12.724310048967686,44.0682019,-114.7420408
IL,185279.53968431,172871.7859051751,166078.65715448913,160941.30183219392,156397.41836727998,159461.21248430762,164184.87470496332,165626.1633402753,168278.18922261224,171897.88355713573,176470.52900820278,178661.2990034576,239192.82120395327,207701.8657194061,199033.89171215252,181520.69187675076,183198.64679260124,195746.04199343332,204166.1759312874,206419.1443364209,203575.7337261503,211393.6753787084,225086.19676945676,234340.32828282824,7.536589147286872,7.1998969603297205,7.2619071945508775,7.029363920992379,8.12228150406507,9.167746443089463,9.990720844811765,11.419868976118995,12.311184449283243,13.363140311803994,12.533941485864558,11.63333258621723,0.014546000000000012,0.02060016712770859,0.023925281074481036,0.02391381530024166,0.027884477257297993,0.0640924643584521,0.044969610498928704,0.03092132782054931,0.02436321766371463,0.020062640117994062,0.019667622619824177,0.019507325872648782,Illinois,-3.5720299673288007,-2.0286950489151336,54.35805719096633,34.10783633059787,40.6331249,-89.3985283
IN,119905.87709541341,116068.61942616409,114085.42257553604,111627.88114907214,111895.5648335702,113663.26269017979,116166.64236805696,120847.96559251935,123874.72718215302,129804.63731638914,137879.80157972866,145414.44922507514,130080.83333333333,125270.5357142857,127509.99155690646,130485.08373205738,130026.262254902,135119.56296296295,132705.55788982258,138675.70894383398,145964.39210454302,151250.8054963279,161891.48009950243,171686.64654059385,7.25028102031996,6.8353869433635905,6.576956333765666,6.599329874621702,7.40550393978595,8.296619293712308,8.94405068728522,9.949595055413461,10.773460276967919,12.589756228714855,12.682350480970303,12.583627217339371,0.07744458140729324,0.07291937596302005,0.07000905238828968,0.06920965588084226,0.06432667923474374,0.06365663343558284,0.042764466530750896,0.03293634343434341,0.027673111782477347,0.02248201940035274,0.021639296296296295,0.02376148665762099,Indiana,21.27382973010042,31.984583847679733,73.56054450954298,-69.31807722911485,40.2671941,-86.1349019
KS,145180.1829635643,141794.801802168,139609.4897126022,135899.14811786098,135413.35953428285,137087.70296462375,138301.5331101739,139853.44263104297,139656.04209508045,141219.92599923958,147326.2384508164,152710.35038557625,182593.125,180479.73856209152,176744.29824561402,180178.63636363635,175999.1452991453,174759.67741935485,174818.6179361179,179780.48898071624,187209.3055555556,194241.99346405227,206730.06535947713,216106.09625668448,3.1058064516128963,2.9747311827956975,2.7218464841653245,2.651771336553946,3.0091250670960807,3.3707729468599004,3.4519592055824004,3.8946591519055413,4.516568732193738,4.981600000000013,5.136400000000013,4.818856994619424,0.023342487309644666,0.02882225042301186,0.03209632996632996,0.039592634680134686,0.04113501683501683,0.028165951178451172,0.02772003367003366,0.022408543771043763,0.01788254560530681,0.01544694719471947,0.014323391089108914,0.012808701155119064,Kansas,5.186773613518449,18.353906400739064,55.15638433028926,-45.12709384733496,39.011902,-98.4842465
KY,126432.44364328562,119893.00209569235,114740.42034732229,107916.66961133844,102289.70227999325,102090.4932369965,100119.52353449352,102113.22964252123,104387.58828651524,105538.70774683045,110499.48180592989,114688.07588009474,149807.14285714287,142029.29824561402,143928.5173160173,139834.6249610956,142534.091553288,142874.8538011696,146822.66666666666,155805.8838383838,160637.84722222216,165876.993670886,176596.09704641358,183893.0149597238,4.664872521246448,4.642184557438801,4.6349318288669545,4.34050305594735,4.81499764927128,5.62364833098262,5.316290550070525,5.607394366197188,6.58259102984842,7.146619181380417,7.185951379149128,6.955502456345156,0.0010675384615384616,0.001563663282571912,0.0032760942760942757,0.003410058922558923,0.004107533670033669,0.002848442760942761,0.005202314814814816,0.003611683417085426,0.0017056666666666665,0.0033604536839611466,0.002173184818481848,0.004103845759575958,Kentucky,-9.289045932170893,22.75316880923726,49.10380561667858,284.42134943426606,37.8393332,-84.2700179
LA,151377.54629920307,149277.60912349293,147012.80731481483,142501.3848477247,143311.6138168724,144643.27916744247,146715.9867974001,151109.7051887636,155370.5396065922,156814.54418233177,160139.39789789793,162072.74310674318,170312.4,169201.8772893773,167733.97435897434,167226.01010101012,163371.00000000003,174319.1523134076,178101.04166666666,180022.07359307364,186749.22331574679,191239.6891534392,198612.84722222225,200545.59598965847,5.782072829131641,5.267507002801118,5.150244584206856,5.4481558803061985,6.0505890505890605,7.062155647382921,7.6346021947873846,7.838809034907603,8.632830796252918,9.138070942662774,8.444028340080965,8.314242986066752,0.008525492957746478,0.008257922535211267,0.010508438596491226,0.024674390243902448,0.02876456170703577,0.024691238584474896,0.022041326530612245,0.012517514124293784,0.010443890765765768,0.010649248961329499,0.015660463576158943,0.016092381630301092,Louisiana,7.0652465104703674,17.75161173799352,43.7934670102624,88.75602513610838,30.9842977,-91.96233269999999
MA,386248.0010934152,364574.60478239594,365931.2135678392,354749.9915761622,349036.3195007663,366042.81812249013,385413.3616647013,403679.9962373413,414750.03590022644,430517.7054777566,451397.3022558195,459662.334969566,298460.7894736842,287422.51511715807,298359.65909090906,291525.9725371631,283353.1844486532,300397.2354497355,303114.4392238294,323230.2660904545,343965.4835836317,374434.8489152892,398465.3409090908,415184.07024793385,9.833914728682167,9.260820413436699,9.266957364341089,8.735017038830598,8.806860902255636,10.754542606516283,10.361372180451124,11.376566416040086,11.84912445278299,12.770325203252028,12.522983114446525,12.66597156231303,0.010297882882882883,0.01089281156156156,0.009599943693693692,0.007078922346716466,0.0058229710144927565,0.005633876811594206,0.007834963768115946,0.021804365942028985,0.03155370571221982,0.034949385394070866,0.02719837310195227,0.017699554085947793,Massachusetts,19.00704564640462,39.10841386571529,28.798875237047987,71.87565917425562,42.4072107,-71.3824374
MD,353503.6609790715,319818.0781073951,303927.04778902745,293501.67269340344,286751.73184037773,295964.020433562,304431.46422222233,305692.7996031749,308861.7703291037,318140.82409972313,328420.7938596492,333409.10862083413,299833.5833333334,286404.6393857714,267065.67164179106,251133.13763861705,254384.35408708945,262966.7634434726,278678.2248209018,287628.61338797817,293758.4428223845,306694.3016975309,319086.7476851852,325038.8573232323,9.681467661691535,9.022222222222224,10.371816953731853,10.159710766523686,9.82974822112754,11.488340978593248,11.568493150684922,13.704374057315217,15.809007490636697,17.74257609502597,17.736910029498528,18.456826482268966,0.0,0.0,0.0,0.006961943452380957,0.02539399431414357,0.040267224979321774,0.06270670781892995,0.08709148329258357,0.05239048543689313,0.04727221554487178,0.03908082736674623,0.0379053730279267,Maryland,-5.684397242897873,8.406421225296,90.64079050018961,inf,39.0457549,-76.64127119999999
ME,234211.15398027896,220898.4156201686,217096.70793650806,207235.4273856991,210055.87884314268,209956.07657222907,209074.6303330178,205497.5612726098,203788.38690842953,209451.03825093026,217686.24029771396,224447.95244309105,174866.66666666666,166663.88888888888,172523.61111111112,165771.52777777778,182132.65306122447,178613.95833333334,177990.625,200243.40277777775,207820.83333333328,226401.34920634923,242917.7777777778,255077.0303030303,2.364150943396229,2.2605570530098844,2.065588499550766,2.0667115902965003,2.341868823000898,2.9440700808625335,3.0786163522012644,3.4332884097035006,3.950134770889488,4.232704402515722,4.01078167115903,3.7261072410668095,0.001663807106598985,0.0017514805414551606,0.0030800761421319795,0.00554225888324873,0.005375888324873097,0.0031119289340101526,0.007813663282571912,0.00771738578680203,0.007260490693739425,0.01354530456852793,0.008814974619289343,0.005320674127057374,Maine,-4.168546788343817,45.86944165251448,57.60868617441395,219.78912134432758,45.253783,-69.4454689
MI,154287.38844507205,139393.4187510959,132359.90080197927,128268.68017460304,128637.14198629283,136598.9520447663,145025.83675379356,150434.14799558072,155806.26830091825,164150.67189714275,174242.33613333336,182050.8466909093,143890.1923076923,122205.63058035716,121018.15167954408,119928.41187169311,127771.30594587563,142027.83910533914,152420.31455245087,160269.11342625626,166099.1507794341,177985.53661616167,191082.15909090915,202776.7095467664,9.638436482084687,10.396491917010291,10.375957854406138,10.76490771897626,12.337967914438506,13.73468712685964,12.689917238270038,14.018904611370397,15.41640956223002,16.197069579957557,16.132828356752544,15.810019468593875,0.1015551978891821,0.12148154593113308,0.11263537400145245,0.09654400562040644,0.07548280440414508,0.05939581534230365,0.037653303926150954,0.028905175390766934,0.024428936225065243,0.017346933461600128,0.016580376325191843,0.013660909301533537,Michigan,17.994638787810796,40.924621959745636,64.03095562211291,-86.54829138687668,44.3148443,-85.60236429999999
MN,196946.73924006333,182382.0940142164,175702.9908103353,166277.28208746781,164081.88198528579,173239.84929047534,181563.73721801487,184394.69966514606,190877.03171767556,201408.64919354822,212736.32463630586,220761.74946811554,205932.27272727274,185231.0222222222,183742.95610425243,166902.08024691363,170398.89565760698,183267.7778452079,195831.71828908552,205301.6438979965,211613.18431568428,231530.1187579654,247404.19708029187,259514.32500184322,6.238849765258232,6.415492957746469,5.569949198905815,5.953635552581683,7.084851016429956,8.023072429906554,7.5224296642032815,8.46579355840124,9.012999611951873,9.50619711299155,9.357709092917897,9.460874567938532,0.015160564516129026,0.02140546034946238,0.026201207243460777,0.04477223417479437,0.0458678189712758,0.05072256999999994,0.028467154579729443,0.017414990059642154,0.013509592445328029,0.00883556105610561,0.007270986260116697,0.006703205623427952,Minnesota,12.092106891408594,26.01925942201983,51.644532628795204,-55.785250501084285,46.729553,-94.6858998
MO,142049.40715293822,135569.6769935586,132161.60335757342,125656.78047892729,122425.32595095842,122294.54765400146,123881.15796379729,127014.4895312858,131050.98302574594,135672.38888113404,142524.54978596675,148446.71052230825,163125.31914893616,159075.53287981855,157634.22431865826,152665.97906403945,151383.77600177602,152252.84159159166,159056.03843947215,162951.70995671,169935.00809061487,180896.23626373633,190683.33333333326,201568.21635154966,5.789083419155533,5.365345005149331,4.975626501888077,4.809818056985924,5.345434260212824,5.932972880192234,5.8790723593964245,6.734770704996561,7.6847193702942915,8.50124414519907,8.90796656431253,8.405341729650132,0.04003822612085773,0.04220545808966858,0.039343242365172164,0.04683529889538655,0.05716864847303438,0.051372205977907696,0.03455037289234761,0.019444412144702845,0.01590235788113695,0.011794197003125579,0.012937576841912095,0.009489212938634901,Missouri,4.503576253917299,23.566480913679925,45.192962703519626,-76.29961699603984,37.9642529,-91.8318334
