Data,Series Id,Adjusted?,Area,Area Type,State/Region/Division,Measure,State Abbreviation,Years,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST010000000000003,Seasonally Adjusted,Alabama,Statewide,Alabama,unemployment rate,AL,2008 to 2019, 5.72 , 10.99 , 10.54 , 9.62 , 7.98 , 7.22 , 6.76 , 6.08 , 5.85 , 4.43 , 3.94 , 3.37 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST020000000000003,Seasonally Adjusted,Alaska,Statewide,Alaska,unemployment rate,AK,2008 to 2019, 6.71 , 7.73 , 7.88 , 7.57 , 7.13 , 7.00 , 6.87 , 6.53 , 6.85 , 6.94 , 6.60 , 6.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST040000000000003,Seasonally Adjusted,Arizona,Statewide,Arizona,unemployment rate,AZ,2008 to 2019, 6.14 , 9.93 , 10.35 , 9.50 , 8.33 , 7.74 , 6.80 , 6.05 , 5.40 , 4.89 , 4.80 , 4.93 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST050000000000003,Seasonally Adjusted,Arkansas,Statewide,Arkansas,unemployment rate,AR,2008 to 2019, 5.50 , 7.83 , 8.19 , 8.29 , 7.58 , 7.22 , 6.02 , 5.03 , 3.95 , 3.71 , 3.70 , 3.57 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST060000000000003,Seasonally Adjusted,California,Statewide,California,unemployment rate,CA,2008 to 2019, 7.29 , 11.14 , 12.23 , 11.71 , 10.38 , 8.94 , 7.50 , 6.20 , 5.48 , 4.78 , 4.19 , 4.13 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST080000000000003,Seasonally Adjusted,Colorado,Statewide,Colorado,unemployment rate,CO,2008 to 2019, 4.85 , 7.30 , 8.73 , 8.36 , 7.89 , 6.85 , 4.99 , 3.84 , 3.22 , 2.70 , 3.25 , 3.09 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST090000000000003,Seasonally Adjusted,Connecticut,Statewide,Connecticut,unemployment rate,CT,2008 to 2019, 5.67 , 7.93 , 9.13 , 8.83 , 8.35 , 7.81 , 6.63 , 5.73 , 5.16 , 4.70 , 4.12 , 3.72 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST100000000000003,Seasonally Adjusted,Delaware,Statewide,Delaware,unemployment rate,DE,2008 to 2019, 4.97 , 8.26 , 8.42 , 7.50 , 7.21 , 6.69 , 5.72 , 4.85 , 4.52 , 4.48 , 3.78 , 3.41 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST110000000000003,Seasonally Adjusted,District of Columbia,Statewide,District of Columbia,unemployment rate,DC,2008 to 2019, 6.44 , 9.28 , 9.41 , 10.16 , 9.04 , 8.49 , 7.77 , 6.88 , 6.10 , 6.06 , 5.56 , 5.51 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST120000000000003,Seasonally Adjusted,Florida,Statewide,Florida,unemployment rate,FL,2008 to 2019, 6.30 , 10.39 , 11.03 , 9.99 , 8.48 , 7.23 , 6.28 , 5.44 , 4.82 , 4.20 , 3.56 , 3.35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST130000000000003,Seasonally Adjusted,Georgia,Statewide,Georgia,unemployment rate,GA,2008 to 2019, 6.27 , 9.93 , 10.49 , 10.23 , 9.19 , 8.20 , 7.10 , 5.97 , 5.37 , 4.68 , 3.93 , 3.66 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST150000000000003,Seasonally Adjusted,Hawaii,Statewide,Hawaii,unemployment rate,HI,2008 to 2019, 4.33 , 7.13 , 6.95 , 6.80 , 6.01 , 4.88 , 4.36 , 3.57 , 2.95 , 2.42 , 2.44 , 2.74 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST160000000000003,Seasonally Adjusted,Idaho,Statewide,Idaho,unemployment rate,ID,2008 to 2019, 5.14 , 8.73 , 8.97 , 8.32 , 7.20 , 6.12 , 4.83 , 4.23 , 3.80 , 3.23 , 2.84 , 2.86 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST170000000000003,Seasonally Adjusted,Illinois,Statewide,Illinois,unemployment rate,IL,2008 to 2019, 6.31 , 10.20 , 10.37 , 9.69 , 8.99 , 9.04 , 7.10 , 5.96 , 5.81 , 4.91 , 4.28 , 4.17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST180000000000003,Seasonally Adjusted,Indiana,Statewide,Indiana,unemployment rate,IN,2008 to 2019, 5.92 , 10.29 , 10.34 , 9.11 , 8.35 , 7.63 , 5.96 , 4.83 , 4.43 , 3.54 , 3.45 , 3.42 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST190000000000003,Seasonally Adjusted,Iowa,Statewide,Iowa,unemployment rate,IA,2008 to 2019, 4.23 , 6.39 , 6.01 , 5.53 , 5.03 , 4.73 , 4.24 , 3.78 , 3.58 , 3.09 , 2.53 , 2.46 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST200000000000003,Seasonally Adjusted,Kansas,Statewide,Kansas,unemployment rate,KS,2008 to 2019, 4.63 , 6.87 , 7.06 , 6.49 , 5.73 , 5.31 , 4.53 , 4.15 , 4.03 , 3.66 , 3.35 , 3.33 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST210000000000003,Seasonally Adjusted,Kentucky,Statewide,Kentucky,unemployment rate,KY,2008 to 2019, 6.47 , 10.33 , 10.17 , 9.38 , 8.17 , 8.02 , 6.46 , 5.28 , 5.14 , 4.91 , 4.34 , 4.20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST220000000000003,Seasonally Adjusted,Louisiana,Statewide,Louisiana,unemployment rate,LA,2008 to 2019, 4.93 , 6.83 , 7.95 , 7.83 , 7.09 , 6.68 , 6.37 , 6.32 , 6.07 , 5.13 , 4.88 , 4.53 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST230000000000003,Seasonally Adjusted,Maine,Statewide,Maine,unemployment rate,ME,2008 to 2019, 5.52 , 8.08 , 8.13 , 7.89 , 7.47 , 6.65 , 5.61 , 4.38 , 3.78 , 3.40 , 3.38 , 3.15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST240000000000003,Seasonally Adjusted,Maryland,Statewide,Maryland,unemployment rate,MD,2008 to 2019, 4.25 , 7.02 , 7.65 , 7.25 , 6.97 , 6.57 , 5.82 , 5.08 , 4.44 , 4.24 , 3.93 , 3.74 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST250000000000003,Seasonally Adjusted,Massachusetts,Statewide,Massachusetts,unemployment rate,MA,2008 to 2019, 5.55 , 8.10 , 8.29 , 7.24 , 6.66 , 6.72 , 5.75 , 4.80 , 3.88 , 3.76 , 3.35 , 2.95 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST260000000000003,Seasonally Adjusted,Michigan,Statewide,Michigan,unemployment rate,MI,2008 to 2019, 8.04 , 13.61 , 12.58 , 10.39 , 9.13 , 8.78 , 7.23 , 5.41 , 5.00 , 4.59 , 4.13 , 4.12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST270000000000003,Seasonally Adjusted,Minnesota,Statewide,Minnesota,unemployment rate,MN,2008 to 2019, 5.44 , 7.77 , 7.39 , 6.49 , 5.61 , 4.96 , 4.16 , 3.68 , 3.87 , 3.41 , 2.91 , 3.24 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST280000000000003,Seasonally Adjusted,Mississippi,Statewide,Mississippi,unemployment rate,MS,2008 to 2019, 6.60 , 9.48 , 10.36 , 9.98 , 9.00 , 8.53 , 7.49 , 6.38 , 5.83 , 5.10 , 4.77 , 5.10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST290000000000003,Seasonally Adjusted,Missouri,Statewide,Missouri,unemployment rate,MO,2008 to 2019, 6.18 , 9.26 , 9.58 , 8.49 , 6.98 , 6.73 , 6.13 , 4.98 , 4.58 , 3.76 , 3.18 , 3.22 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST300000000000003,Seasonally Adjusted,Montana,Statewide,Montana,unemployment rate,MT,2008 to 2019, 5.11 , 6.84 , 7.30 , 6.94 , 5.98 , 5.41 , 4.66 , 4.19 , 4.13 , 3.94 , 3.72 , 3.54 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST310000000000003,Seasonally Adjusted,Nebraska,Statewide,Nebraska,unemployment rate,NE,2008 to 2019, 3.34 , 4.64 , 4.63 , 4.39 , 4.02 , 3.77 , 3.27 , 2.99 , 3.07 , 2.88 , 2.79 , 2.98 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST320000000000003,Seasonally Adjusted,Nevada,Statewide,Nevada,unemployment rate,NV,2008 to 2019, 6.71 , 11.30 , 13.50 , 13.02 , 11.19 , 9.63 , 7.92 , 6.76 , 5.73 , 5.05 , 4.56 , 4.12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST330000000000003,Seasonally Adjusted,New Hampshire,Statewide,New Hampshire,unemployment rate,NH,2008 to 2019, 3.87 , 6.23 , 5.83 , 5.41 , 5.48 , 5.08 , 4.28 , 3.36 , 2.87 , 2.73 , 2.53 , 2.47 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST340000000000003,Seasonally Adjusted,New Jersey,Statewide,New Jersey,unemployment rate,NJ,2008 to 2019, 5.36 , 9.03 , 9.53 , 9.34 , 9.33 , 8.24 , 6.74 , 5.78 , 4.98 , 4.62 , 4.14 , 3.59 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST350000000000003,Seasonally Adjusted,New Mexico,Statewide,New Mexico,unemployment rate,NM,2008 to 2019, 4.48 , 7.51 , 8.10 , 7.52 , 7.12 , 6.94 , 6.68 , 6.51 , 6.62 , 5.85 , 4.94 , 4.95 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST360000000000003,Seasonally Adjusted,New York,Statewide,New York,unemployment rate,NY,2008 to 2019, 5.46 , 8.32 , 8.59 , 8.30 , 8.52 , 7.71 , 6.33 , 5.26 , 4.85 , 4.68 , 4.11 , 3.95 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST370000000000003,Seasonally Adjusted,North Carolina,Statewide,North Carolina,unemployment rate,NC,2008 to 2019, 6.13 , 10.58 , 10.82 , 10.27 , 9.29 , 7.96 , 6.32 , 5.72 , 5.08 , 4.48 , 3.89 , 4.03 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST380000000000003,Seasonally Adjusted,North Dakota,Statewide,North Dakota,unemployment rate,ND,2008 to 2019, 3.19 , 4.10 , 3.78 , 3.47 , 3.07 , 2.92 , 2.67 , 2.79 , 3.09 , 2.67 , 2.63 , 2.40 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST390000000000003,Seasonally Adjusted,Ohio,Statewide,Ohio,unemployment rate,OH,2008 to 2019, 6.48 , 10.29 , 10.24 , 8.85 , 7.41 , 7.43 , 5.80 , 4.91 , 5.04 , 4.97 , 4.58 , 4.25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST400000000000003,Seasonally Adjusted,Oklahoma,Statewide,Oklahoma,unemployment rate,OK,2008 to 2019, 3.77 , 6.38 , 6.78 , 5.88 , 5.27 , 5.28 , 4.51 , 4.39 , 4.81 , 4.24 , 3.38 , 3.25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST410000000000003,Seasonally Adjusted,Oregon,Statewide,Oregon,unemployment rate,OR,2008 to 2019, 6.57 , 11.26 , 10.61 , 9.50 , 8.83 , 7.88 , 6.77 , 5.58 , 4.81 , 4.12 , 4.13 , 4.15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST420000000000003,Seasonally Adjusted,Pennsylvania,Statewide,Pennsylvania,unemployment rate,PA,2008 to 2019, 5.32 , 8.05 , 8.43 , 7.93 , 7.83 , 7.34 , 5.88 , 5.28 , 5.39 , 4.88 , 4.29 , 3.97 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST440000000000003,Seasonally Adjusted,Rhode Island,Statewide,Rhode Island,unemployment rate,RI,2008 to 2019, 7.81 , 10.98 , 11.20 , 11.03 , 10.39 , 9.27 , 7.69 , 6.00 , 5.19 , 4.42 , 4.06 , 3.67 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST450000000000003,Seasonally Adjusted,South Carolina,Statewide,South Carolina,unemployment rate,SC,2008 to 2019, 6.85 , 11.23 , 11.13 , 10.54 , 9.20 , 7.62 , 6.46 , 5.97 , 5.03 , 4.27 , 3.41 , 3.14 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST460000000000003,Seasonally Adjusted,South Dakota,Statewide,South Dakota,unemployment rate,SD,2008 to 2019, 3.10 , 4.93 , 4.98 , 4.73 , 4.27 , 3.78 , 3.41 , 3.10 , 2.98 , 3.18 , 3.01 , 2.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST470000000000003,Seasonally Adjusted,Tennessee,Statewide,Tennessee,unemployment rate,TN,2008 to 2019, 6.63 , 10.46 , 9.63 , 8.97 , 7.83 , 7.73 , 6.60 , 5.60 , 4.73 , 3.75 , 3.49 , 3.34 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST480000000000003,Seasonally Adjusted,Texas,Statewide,Texas,unemployment rate,TX,2008 to 2019, 4.83 , 7.57 , 8.13 , 7.76 , 6.74 , 6.25 , 5.12 , 4.43 , 4.63 , 4.33 , 3.85 , 3.55 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST490000000000003,Seasonally Adjusted,Utah,Statewide,Utah,unemployment rate,UT,2008 to 2019, 3.58 , 7.32 , 7.83 , 6.75 , 5.40 , 4.59 , 3.82 , 3.60 , 3.43 , 3.26 , 3.13 , 2.81 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST500000000000003,Seasonally Adjusted,Vermont,Statewide,Vermont,unemployment rate,VT,2008 to 2019, 4.71 , 6.57 , 6.08 , 5.47 , 4.93 , 4.41 , 3.93 , 3.57 , 3.23 , 2.98 , 2.66 , 2.23 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST510000000000003,Seasonally Adjusted,Virginia,Statewide,Virginia,unemployment rate,VA,2008 to 2019, 3.96 , 6.68 , 7.13 , 6.59 , 6.06 , 5.70 , 5.23 , 4.46 , 4.10 , 3.70 , 2.98 , 2.82 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST530000000000003,Seasonally Adjusted,Washington,Statewide,Washington,unemployment rate,WA,2008 to 2019, 5.41 , 9.12 , 9.99 , 9.28 , 8.11 , 7.03 , 6.13 , 5.64 , 5.28 , 4.71 , 4.48 , 4.56 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST540000000000003,Seasonally Adjusted,West Virginia,Statewide,West Virginia,unemployment rate,WV,2008 to 2019, 4.37 , 7.71 , 8.63 , 8.06 , 7.49 , 6.79 , 6.63 , 6.74 , 6.08 , 5.19 , 5.23 , 4.87 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST550000000000003,Seasonally Adjusted,Wisconsin,Statewide,Wisconsin,unemployment rate,WI,2008 to 2019, 4.93 , 8.58 , 8.64 , 7.76 , 7.03 , 6.70 , 5.40 , 4.53 , 4.02 , 3.27 , 3.00 , 3.02 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Area Unemployment Statistics,LASST560000000000003,Seasonally Adjusted,Wyoming,Statewide,Wyoming,unemployment rate,WY,2008 to 2019, 3.07 , 6.33 , 6.45 , 5.79 , 5.31 , 4.72 , 4.13 , 4.33 , 5.33 , 4.18 , 4.08 , 3.71 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
